2026-05-24 08:21:57 | INFO | consumer_group | Consumer 1 joined group group1
2026-05-24 08:21:57 | DEBUG | consumer | Using message for 2: producer 2 generate the messsage id- 1
2026-05-24 08:21:57 | INFO | consumer | Getting message for 3 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 3 assigned partitions: [2]
2026-05-24 08:21:57 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=2 -> 0
2026-05-24 08:21:57 | INFO | partition | Consumer 3 reading the message in partiotion 2
2026-05-24 08:21:57 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=2 -> 1
2026-05-24 08:21:57 | DEBUG | consumer | Received message: producer 3 generate the messsage id- 1
2026-05-24 08:21:57 | INFO | consumer | Received message: producer 3 generate the messsage id- 1
2026-05-24 08:21:57 | DEBUG | consumer | Using message for 3: producer 3 generate the messsage id- 1
2026-05-24 08:21:57 | INFO | consumer | Getting message for 4 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 4 assigned partitions: []
2026-05-24 08:21:57 | INFO | consumer | Getting message for 5 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 5 assigned partitions: []
2026-05-24 08:21:57 | INFO | consumer | Getting message for 6 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 6 assigned partitions: []
2026-05-24 08:21:57 | INFO | consumer | Getting message for 7 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 7 assigned partitions: []
2026-05-24 08:21:57 | INFO | consumer | Getting message for 8 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 8 assigned partitions: []
2026-05-24 08:21:57 | INFO | consumer | Getting message for 9 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 9 assigned partitions: []
2026-05-24 08:21:57 | INFO | consumer | Getting message for 10 from broker 1
2026-05-24 08:21:57 | DEBUG | consumer_group | Consumer 10 assigned partitions: []
2026-05-24 08:21:58 | INFO | producer | Generating message for 1
2026-05-24 08:21:58 | DEBUG | producer | sending message for 1
2026-05-24 08:21:58 | INFO | producer | sending message for 1
2026-05-24 08:21:58 | INFO | partition | Producer 1 appending the message in partiotion 0
2026-05-24 08:21:58 | INFO | producer | Generating message for 3
2026-05-24 08:21:58 | DEBUG | producer | sending message for 3
2026-05-24 08:21:58 | INFO | producer | sending message for 3
2026-05-24 08:21:58 | INFO | partition | Producer 3 appending the message in partiotion 2
2026-05-24 08:21:58 | INFO | producer | Generating message for 7
2026-05-24 08:21:58 | DEBUG | producer | sending message for 7
2026-05-24 08:21:58 | INFO | producer | sending message for 7
2026-05-24 08:21:58 | INFO | partition | Producer 7 appending the message in partiotion 0
2026-05-24 08:21:58 | INFO | consumer | Getting message for 5 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 5 assigned partitions: []
2026-05-24 08:21:58 | INFO | consumer | Getting message for 10 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 10 assigned partitions: []
2026-05-24 08:21:58 | INFO | consumer | Getting message for 9 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 9 assigned partitions: []
2026-05-24 08:21:58 | INFO | consumer | Getting message for 8 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 8 assigned partitions: []
2026-05-24 08:21:58 | INFO | consumer | Getting message for 7 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 7 assigned partitions: []
2026-05-24 08:21:58 | INFO | consumer | Getting message for 4 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 4 assigned partitions: []
2026-05-24 08:21:58 | INFO | consumer | Getting message for 6 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 6 assigned partitions: []
2026-05-24 08:21:58 | INFO | consumer | Getting message for 3 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 3 assigned partitions: [2]
2026-05-24 08:21:58 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=2 -> 1
2026-05-24 08:21:58 | INFO | partition | Consumer 3 reading the message in partiotion 2
2026-05-24 08:21:58 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=2 -> 2
2026-05-24 08:21:58 | DEBUG | consumer | Received message: producer 6 generate the messsage id- 1
2026-05-24 08:21:58 | INFO | consumer | Received message: producer 6 generate the messsage id- 1
2026-05-24 08:21:58 | DEBUG | consumer | Using message for 3: producer 6 generate the messsage id- 1
2026-05-24 08:21:58 | INFO | consumer | Getting message for 2 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 2 assigned partitions: [1]
2026-05-24 08:21:58 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=1 -> 1
2026-05-24 08:21:58 | INFO | partition | Consumer 2 reading the message in partiotion 1
2026-05-24 08:21:58 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=1 -> 2
2026-05-24 08:21:58 | DEBUG | consumer | Received message: producer 5 generate the messsage id- 1
2026-05-24 08:21:58 | INFO | consumer | Received message: producer 5 generate the messsage id- 1
2026-05-24 08:21:58 | DEBUG | consumer | Using message for 2: producer 5 generate the messsage id- 1
2026-05-24 08:21:58 | INFO | consumer | Getting message for 1 from broker 1
2026-05-24 08:21:58 | DEBUG | consumer_group | Consumer 1 assigned partitions: [0]
2026-05-24 08:21:58 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=0 -> 1
2026-05-24 08:21:58 | INFO | partition | Consumer 1 reading the message in partiotion 0
2026-05-24 08:21:58 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=0 -> 2
2026-05-24 08:21:58 | DEBUG | consumer | Received message: producer 4 generate the messsage id- 1
2026-05-24 08:21:58 | INFO | consumer | Received message: producer 4 generate the messsage id- 1
2026-05-24 08:21:58 | DEBUG | consumer | Using message for 1: producer 4 generate the messsage id- 1
2026-05-24 08:21:58 | INFO | producer | Generating message for 10
2026-05-24 08:21:58 | DEBUG | producer | sending message for 10
2026-05-24 08:21:58 | INFO | producer | sending message for 10
2026-05-24 08:21:58 | INFO | partition | Producer 10 appending the message in partiotion 0
2026-05-24 08:21:58 | INFO | producer | Generating message for 9
2026-05-24 08:21:58 | DEBUG | producer | sending message for 9
2026-05-24 08:21:58 | INFO | producer | sending message for 9
2026-05-24 08:21:58 | INFO | partition | Producer 9 appending the message in partiotion 2
2026-05-24 08:21:58 | INFO | producer | Generating message for 6
2026-05-24 08:21:58 | DEBUG | producer | sending message for 6
2026-05-24 08:21:58 | INFO | producer | sending message for 6
2026-05-24 08:21:58 | INFO | partition | Producer 6 appending the message in partiotion 2
2026-05-24 08:21:58 | INFO | producer | Generating message for 8
2026-05-24 08:21:58 | DEBUG | producer | sending message for 8
2026-05-24 08:21:58 | INFO | producer | sending message for 8
2026-05-24 08:21:58 | INFO | partition | Producer 8 appending the message in partiotion 1
2026-05-24 08:21:58 | INFO | producer | Generating message for 5
2026-05-24 08:21:58 | DEBUG | producer | sending message for 5
2026-05-24 08:21:58 | INFO | producer | sending message for 5
2026-05-24 08:21:58 | INFO | partition | Producer 5 appending the message in partiotion 1
2026-05-24 08:21:58 | INFO | producer | Generating message for 2
2026-05-24 08:21:58 | DEBUG | producer | sending message for 2
2026-05-24 08:21:58 | INFO | producer | sending message for 2
2026-05-24 08:21:58 | INFO | partition | Producer 2 appending the message in partiotion 1
2026-05-24 08:21:58 | INFO | producer | Generating message for 4
2026-05-24 08:21:58 | DEBUG | producer | sending message for 4
2026-05-24 08:21:58 | INFO | producer | sending message for 4
2026-05-24 08:21:58 | INFO | partition | Producer 4 appending the message in partiotion 0
2026-05-24 08:21:59 | INFO | producer | Generating message for 1
2026-05-24 08:21:59 | DEBUG | producer | sending message for 1
2026-05-24 08:21:59 | INFO | producer | sending message for 1
2026-05-24 08:21:59 | INFO | partition | Producer 1 appending the message in partiotion 0
2026-05-24 08:21:59 | INFO | producer | Generating message for 7
2026-05-24 08:21:59 | DEBUG | producer | sending message for 7
2026-05-24 08:21:59 | INFO | producer | sending message for 7
2026-05-24 08:21:59 | INFO | partition | Producer 7 appending the message in partiotion 0
2026-05-24 08:21:59 | INFO | consumer | Getting message for 8 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 8 assigned partitions: []
2026-05-24 08:21:59 | INFO | producer | Generating message for 9
2026-05-24 08:21:59 | DEBUG | producer | sending message for 9
2026-05-24 08:21:59 | INFO | producer | sending message for 9
2026-05-24 08:21:59 | INFO | partition | Producer 9 appending the message in partiotion 2
2026-05-24 08:21:59 | INFO | producer | Generating message for 10
2026-05-24 08:21:59 | DEBUG | producer | sending message for 10
2026-05-24 08:21:59 | INFO | producer | sending message for 10
2026-05-24 08:21:59 | INFO | partition | Producer 10 appending the message in partiotion 0
2026-05-24 08:21:59 | INFO | producer | Generating message for 5
2026-05-24 08:21:59 | DEBUG | producer | sending message for 5
2026-05-24 08:21:59 | INFO | producer | sending message for 5
2026-05-24 08:21:59 | INFO | partition | Producer 5 appending the message in partiotion 1
2026-05-24 08:21:59 | INFO | producer | Generating message for 8
2026-05-24 08:21:59 | DEBUG | producer | sending message for 8
2026-05-24 08:21:59 | INFO | producer | sending message for 8
2026-05-24 08:21:59 | INFO | partition | Producer 8 appending the message in partiotion 1
2026-05-24 08:21:59 | INFO | producer | Generating message for 6
2026-05-24 08:21:59 | DEBUG | producer | sending message for 6
2026-05-24 08:21:59 | INFO | producer | sending message for 6
2026-05-24 08:21:59 | INFO | partition | Producer 6 appending the message in partiotion 2
2026-05-24 08:21:59 | INFO | consumer | Getting message for 9 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 9 assigned partitions: []
2026-05-24 08:21:59 | INFO | consumer | Getting message for 1 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 1 assigned partitions: [0]
2026-05-24 08:21:59 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=0 -> 2
2026-05-24 08:21:59 | INFO | partition | Consumer 1 reading the message in partiotion 0
2026-05-24 08:21:59 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=0 -> 3
2026-05-24 08:21:59 | DEBUG | consumer | Received message: producer 7 generate the messsage id- 1
2026-05-24 08:21:59 | INFO | consumer | Received message: producer 7 generate the messsage id- 1
2026-05-24 08:21:59 | DEBUG | consumer | Using message for 1: producer 7 generate the messsage id- 1
2026-05-24 08:21:59 | INFO | consumer | Getting message for 2 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 2 assigned partitions: [1]
2026-05-24 08:21:59 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=1 -> 2
2026-05-24 08:21:59 | INFO | partition | Consumer 2 reading the message in partiotion 1
2026-05-24 08:21:59 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=1 -> 3
2026-05-24 08:21:59 | DEBUG | consumer | Received message: producer 8 generate the messsage id- 1
2026-05-24 08:21:59 | INFO | consumer | Received message: producer 8 generate the messsage id- 1
2026-05-24 08:21:59 | DEBUG | consumer | Using message for 2: producer 8 generate the messsage id- 1
2026-05-24 08:21:59 | INFO | consumer | Getting message for 3 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 3 assigned partitions: [2]
2026-05-24 08:21:59 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=2 -> 2
2026-05-24 08:21:59 | INFO | partition | Consumer 3 reading the message in partiotion 2
2026-05-24 08:21:59 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=2 -> 3
2026-05-24 08:21:59 | DEBUG | consumer | Received message: producer 9 generate the messsage id- 1
2026-05-24 08:21:59 | INFO | consumer | Received message: producer 9 generate the messsage id- 1
2026-05-24 08:21:59 | DEBUG | consumer | Using message for 3: producer 9 generate the messsage id- 1
2026-05-24 08:21:59 | INFO | consumer | Getting message for 6 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 6 assigned partitions: []
2026-05-24 08:21:59 | INFO | consumer | Getting message for 4 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 4 assigned partitions: []
2026-05-24 08:21:59 | INFO | consumer | Getting message for 7 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 7 assigned partitions: []
2026-05-24 08:21:59 | INFO | producer | Generating message for 3
2026-05-24 08:21:59 | DEBUG | producer | sending message for 3
2026-05-24 08:21:59 | INFO | producer | sending message for 3
2026-05-24 08:21:59 | INFO | partition | Producer 3 appending the message in partiotion 2
2026-05-24 08:21:59 | INFO | consumer | Getting message for 10 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 10 assigned partitions: []
2026-05-24 08:21:59 | INFO | consumer | Getting message for 5 from broker 1
2026-05-24 08:21:59 | DEBUG | consumer_group | Consumer 5 assigned partitions: []
2026-05-24 08:21:59 | INFO | producer | Generating message for 2
2026-05-24 08:21:59 | DEBUG | producer | sending message for 2
2026-05-24 08:21:59 | INFO | producer | sending message for 2
2026-05-24 08:21:59 | INFO | partition | Producer 2 appending the message in partiotion 1
2026-05-24 08:21:59 | INFO | producer | Generating message for 4
2026-05-24 08:21:59 | DEBUG | producer | sending message for 4
2026-05-24 08:21:59 | INFO | producer | sending message for 4
2026-05-24 08:21:59 | INFO | partition | Producer 4 appending the message in partiotion 0
2026-05-24 08:22:00 | INFO | producer | Generating message for 1
2026-05-24 08:22:00 | DEBUG | producer | sending message for 1
2026-05-24 08:22:00 | INFO | producer | sending message for 1
2026-05-24 08:22:00 | INFO | partition | Producer 1 appending the message in partiotion 0
2026-05-24 08:22:00 | INFO | consumer | Getting message for 8 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 8 assigned partitions: []
2026-05-24 08:22:00 | INFO | producer | Generating message for 8
2026-05-24 08:22:00 | DEBUG | producer | sending message for 8
2026-05-24 08:22:00 | INFO | producer | sending message for 8
2026-05-24 08:22:00 | INFO | partition | Producer 8 appending the message in partiotion 1
2026-05-24 08:22:00 | INFO | producer | Generating message for 5
2026-05-24 08:22:00 | DEBUG | producer | sending message for 5
2026-05-24 08:22:00 | INFO | producer | sending message for 5
2026-05-24 08:22:00 | INFO | partition | Producer 5 appending the message in partiotion 1
2026-05-24 08:22:00 | INFO | producer | Generating message for 7
2026-05-24 08:22:00 | DEBUG | producer | sending message for 7
2026-05-24 08:22:00 | INFO | producer | sending message for 7
2026-05-24 08:22:00 | INFO | partition | Producer 7 appending the message in partiotion 0
2026-05-24 08:22:00 | INFO | producer | Generating message for 10
2026-05-24 08:22:00 | DEBUG | producer | sending message for 10
2026-05-24 08:22:00 | INFO | producer | sending message for 10
2026-05-24 08:22:00 | INFO | partition | Producer 10 appending the message in partiotion 0
2026-05-24 08:22:00 | INFO | producer | Generating message for 9
2026-05-24 08:22:00 | DEBUG | producer | sending message for 9
2026-05-24 08:22:00 | INFO | producer | sending message for 9
2026-05-24 08:22:00 | INFO | partition | Producer 9 appending the message in partiotion 2
2026-05-24 08:22:00 | INFO | consumer | Getting message for 7 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 7 assigned partitions: []
2026-05-24 08:22:00 | INFO | producer | Generating message for 4
2026-05-24 08:22:00 | DEBUG | producer | sending message for 4
2026-05-24 08:22:00 | INFO | producer | sending message for 4
2026-05-24 08:22:00 | INFO | partition | Producer 4 appending the message in partiotion 0
2026-05-24 08:22:00 | INFO | consumer | Getting message for 4 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 4 assigned partitions: []
2026-05-24 08:22:00 | INFO | consumer | Getting message for 6 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 6 assigned partitions: []
2026-05-24 08:22:00 | INFO | producer | Generating message for 2
2026-05-24 08:22:00 | DEBUG | producer | sending message for 2
2026-05-24 08:22:00 | INFO | producer | sending message for 2
2026-05-24 08:22:00 | INFO | partition | Producer 2 appending the message in partiotion 1
2026-05-24 08:22:00 | INFO | consumer | Getting message for 3 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 3 assigned partitions: [2]
2026-05-24 08:22:00 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=2 -> 3
2026-05-24 08:22:00 | INFO | partition | Consumer 3 reading the message in partiotion 2
2026-05-24 08:22:00 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=2 -> 4
2026-05-24 08:22:00 | DEBUG | consumer | Received message: producer 3 generate the messsage id- 2
2026-05-24 08:22:00 | INFO | consumer | Received message: producer 3 generate the messsage id- 2
2026-05-24 08:22:00 | DEBUG | consumer | Using message for 3: producer 3 generate the messsage id- 2
2026-05-24 08:22:00 | INFO | consumer | Getting message for 2 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 2 assigned partitions: [1]
2026-05-24 08:22:00 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=1 -> 3
2026-05-24 08:22:00 | INFO | partition | Consumer 2 reading the message in partiotion 1
2026-05-24 08:22:00 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=1 -> 4
2026-05-24 08:22:00 | DEBUG | consumer | Received message: producer 8 generate the messsage id- 2
2026-05-24 08:22:00 | INFO | consumer | Received message: producer 8 generate the messsage id- 2
2026-05-24 08:22:00 | DEBUG | consumer | Using message for 2: producer 8 generate the messsage id- 2
2026-05-24 08:22:00 | INFO | consumer | Getting message for 10 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 10 assigned partitions: []
2026-05-24 08:22:00 | INFO | consumer | Getting message for 5 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 5 assigned partitions: []
2026-05-24 08:22:00 | INFO | consumer | Getting message for 1 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 1 assigned partitions: [0]
2026-05-24 08:22:00 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=0 -> 3
2026-05-24 08:22:00 | INFO | partition | Consumer 1 reading the message in partiotion 0
2026-05-24 08:22:00 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=0 -> 4
2026-05-24 08:22:00 | DEBUG | consumer | Received message: producer 10 generate the messsage id- 1
2026-05-24 08:22:00 | INFO | consumer | Received message: producer 10 generate the messsage id- 1
2026-05-24 08:22:00 | DEBUG | consumer | Using message for 1: producer 10 generate the messsage id- 1
2026-05-24 08:22:00 | INFO | consumer | Getting message for 9 from broker 1
2026-05-24 08:22:00 | DEBUG | consumer_group | Consumer 9 assigned partitions: []
2026-05-24 08:22:00 | INFO | producer | Generating message for 3
2026-05-24 08:22:00 | DEBUG | producer | sending message for 3
2026-05-24 08:22:00 | INFO | producer | sending message for 3
2026-05-24 08:22:00 | INFO | partition | Producer 3 appending the message in partiotion 2
2026-05-24 08:22:00 | INFO | producer | Generating message for 6
2026-05-24 08:22:00 | DEBUG | producer | sending message for 6
2026-05-24 08:22:00 | INFO | producer | sending message for 6
2026-05-24 08:22:00 | INFO | partition | Producer 6 appending the message in partiotion 2
2026-05-24 08:22:01 | INFO | consumer | Getting message for 8 from broker 1
2026-05-24 08:22:01 | DEBUG | consumer_group | Consumer 8 assigned partitions: []
2026-05-24 08:22:01 | INFO | producer | Generating message for 9
2026-05-24 08:22:01 | DEBUG | producer | sending message for 9
2026-05-24 08:22:01 | INFO | producer | sending message for 9
2026-05-24 08:22:01 | INFO | partition | Producer 9 appending the message in partiotion 2
2026-05-24 08:22:01 | INFO | producer | Generating message for 5
2026-05-24 08:22:01 | DEBUG | producer | sending message for 5
2026-05-24 08:22:01 | INFO | producer | sending message for 5
2026-05-24 08:22:01 | INFO | partition | Producer 5 appending the message in partiotion 1
2026-05-24 08:22:01 | INFO | producer | Generating message for 10
2026-05-24 08:22:01 | DEBUG | producer | sending message for 10
2026-05-24 08:22:01 | INFO | producer | sending message for 10
2026-05-24 08:22:01 | INFO | partition | Producer 10 appending the message in partiotion 0
2026-05-24 08:22:01 | INFO | producer | Generating message for 8
2026-05-24 08:22:01 | DEBUG | producer | sending message for 8
2026-05-24 08:22:01 | INFO | producer | sending message for 8
2026-05-24 08:22:01 | INFO | partition | Producer 8 appending the message in partiotion 1
2026-05-24 08:22:01 | INFO | producer | Generating message for 1
2026-05-24 08:22:01 | DEBUG | producer | sending message for 1
2026-05-24 08:22:01 | INFO | producer | sending message for 1
2026-05-24 08:22:01 | INFO | partition | Producer 1 appending the message in partiotion 0
2026-05-24 08:22:01 | INFO | producer | Generating message for 7
2026-05-24 08:22:01 | DEBUG | producer | sending message for 7
2026-05-24 08:22:01 | INFO | producer | sending message for 7
2026-05-24 08:22:01 | INFO | partition | Producer 7 appending the message in partiotion 0
2026-05-24 08:22:01 | INFO | consumer | Getting message for 10 from broker 1
2026-05-24 08:22:01 | DEBUG | consumer_group | Consumer 10 assigned partitions: []
2026-05-24 08:22:01 | INFO | producer | Generating message for 6
2026-05-24 08:22:01 | DEBUG | producer | sending message for 6
2026-05-24 08:22:01 | INFO | producer | sending message for 6
2026-05-24 08:22:01 | INFO | partition | Producer 6 appending the message in partiotion 2
2026-05-24 08:22:01 | INFO | consumer | Getting message for 2 from broker 1
2026-05-24 08:22:01 | DEBUG | consumer_group | Consumer 2 assigned partitions: [1]
2026-05-24 08:22:01 | DEBUG | offset_manager | Getting offset for group=group1 topic=orders partition=1 -> 4
2026-05-24 08:22:01 | INFO | partition | Consumer 2 reading the message in partiotion 1
2026-05-24 08:22:01 | DEBUG | offset_manager | Updated offset for group=group1 topic=orders partition=1 -> 5
2026-05-24 08:22:01 | DEBUG | consumer | Received message: producer 5 generate the messsage id- 2
2026-05-24 08:22:01 | INFO | consumer | Received message: producer 5 generate the messsage id- 2
2026-05-24 08:22:01 | DEBUG | consumer | Using message for 2: producer 5 generate the messsage id- 2
